dataset,format,file_gb,pipeline_reads_gb,cells,genes,molecules,browser_outcome,browser_process_s,browser_peak_gb,browser_genes_loaded,browser_error,server_outcome,server_process_s,server_peak_gb,server_tier,escalated_tier,escalated_process_s,escalated_peak_gb,upload_s,queue_s,fargate_usd,output_gb,s3_usd_month,merfisheyes_link
h5ad__140MB_cbm2_combined_neuropath,h5ad,0.132,,57489,223,,ok,2.1,1.28,223,,ok,9.0,0.27,16GB,,,,2.8,34.9,0.0032,0.028,0.0006,https://dev.merfisheyes.com/viewer/ds_4mStaHTB5N
h5ad__180MB_HubcTMA_VMSC02511_region_R2,h5ad,0.164,,45913,815,,ok,4.5,1.47,815,,ok,4.4,0.38,16GB,,,,2.2,32.8,0.003,0.017,0.0004,https://dev.merfisheyes.com/viewer/ds_qh0K7-WNVP
h5ad__190MB_HubcTMA_VMSC02511_region_R3,h5ad,0.174,,48910,815,,ok,4.6,1.52,815,,ok,3.2,0.39,16GB,,,,6.3,32.5,0.0031,0.009,0.0002,https://dev.merfisheyes.com/viewer/ds_3ovmhMpzJe
h5ad__250MB_CBM7_labeled,h5ad,0.232,,139997,223,,ok,3.4,1.59,223,,ok,9.6,0.37,16GB,,,,2.9,37.7,0.0032,0.030,0.0007,https://dev.merfisheyes.com/viewer/ds_Qpl0QwWtka
h5ad__270MB_HubcTMA_VMSC02511_region_R4,h5ad,0.248,,69911,815,,ok,6.4,2.05,815,,ok,6.6,0.45,16GB,,,,3.9,54.9,0.0034,0.025,0.0006,https://dev.merfisheyes.com/viewer/ds_dv5_xtoIvk
h5ad__290MB_HubcTMA_VMSC02511_region_R5,h5ad,0.271,,76409,815,,ok,6.8,2.12,815,,ok,6.2,0.47,16GB,,,,4.0,34.1,0.0032,0.021,0.0005,https://dev.merfisheyes.com/viewer/ds_TgkaywkQG5
h5ad__340MB_HubcTMA_VMSC02511_region_R1,h5ad,0.315,,88649,815,,ok,8.1,2.33,815,,ok,11.6,0.51,16GB,,,,3.7,30.4,0.0035,0.047,0.0011,https://dev.merfisheyes.com/viewer/ds_lHH8G8IdsY
h5ad__430MB_MsBrain_VMSC02011_region_R1,h5ad,0.398,,112060,815,,ok,10.2,2.72,815,,ok,25.5,0.59,16GB,,,,4.7,32.1,0.0045,0.112,0.0026,https://dev.merfisheyes.com/viewer/ds_0CUzAUTPXa
h5ad__440MB_mmc_MsBrain_VMSC02011_region_R1,h5ad,0.405,,112060,815,,ok,11.6,2.79,815,,ok,39.5,0.66,16GB,,,,8.2,33.9,0.0054,0.134,0.0031,https://dev.merfisheyes.com/viewer/ds_o3VrVSGwC2
h5ad__4GB_2kset2_labelled_clusters,h5ad,3.972,,125665,2088,,failed,,0.63,,"app reported: Failed to process data: The requested file could not be read, typically due to permission problems that ha",ok,125.2,1.38,16GB,,,,38.5,31.5,0.0127,0.574,0.0132,https://dev.merfisheyes.com/viewer/ds_dKeP78WWg1
h5ad__500MB_Mouse_receptors_rep2_3_adata,h5ad,0.469,,85958,649,,ok,14.3,2.76,483,,ok,40.2,0.56,16GB,,,,4.8,39.2,0.0055,0.018,0.0004,https://dev.merfisheyes.com/viewer/ds_AlCvRuL3lT
h5ad__570MB_HuBrain_VMSC16710_region_R1,h5ad,0.531,,149697,815,,ok,13.3,3.37,815,,ok,29.7,0.71,16GB,,,,7.2,31.1,0.0049,0.124,0.0028,https://dev.merfisheyes.com/viewer/ds_-PXEF6ZSyF
