Dataset,Status,combined,filter mask,MMC heirarchy,MMC correlation,process new,sync s3 new,checked on meyes new,Single molecule ,Notes,bil data path
ace-den-fix,In progress,Completed,mask made,Completed,no output,Completed,Completed,Completed,complete,,
ace-den-fog,In progress,Completed,mask made,Completed,no output,Completed,Completed,Completed,complete,,
ace-dim-nut,In progress,Completed,mask made,Completed,error,Completed,Completed,Completed,no output,,/bil/data/ab/6f/ab6fb1d8e5f7f218/687997/
ace-dip-tub,In progress,Completed,mask made,Completed,no output,Completed,Completed,Completed,complete,,
ace-dip-tug,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,,/bil/data/63/05/63053886eb9f9771/660403
ace-dip-use,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,,/bil/data/63/05/63053886eb9f9771/660406
ace-dip-van,In progress,Completed,mask made,Completed,no output,Completed,Completed,Completed,complete,,
ace-dip-vat,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,,/bil/data/63/05/63053886eb9f9771/660410
ace-dug-fin,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,,/bil/data/4c/a5/4ca56ab12ee4ec99/658801
ace-ear-dud,In progress,Completed,mask made,Completed,no output,Completed,Completed,Completed,no output,,
ace-low-bet,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400263/merfish_output/1296400263_SISSeg_mousedevmodel_20241007
ace-low-bid,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400260/merfish_output/1296400260_SISSeg_mousedevmodel_20241007
ace-low-big,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400257/merfish_output/1296400257_SISSeg_mousedevmodel_20241007
ace-low-bin,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400254/merfish_output/1296400254_SISSeg_mousedevmodel_20241008
ace-low-bit,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400251/merfish_output/1296400251_SISSeg_mousedevmodel_20241008
ace-low-bog,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400248/merfish_output/1296400248_SISSeg_mousedevmodel_20241008
ace-low-boo,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400245/merfish_output/1296400245_SISSeg_mousedevmodel_20241008
ace-low-box,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400242/merfish_output/1296400242_SISSeg_mousedevmodel_20241008
ace-low-bud,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400239/merfish_output/1296400239_SISSeg_mousedevmodel_20241008
ace-low-bug,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400236/merfish_output/1296400236_SISSeg_mousedevmodel_20241008
ace-low-bun,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400233/merfish_output/1296400233_SISSeg_mousedevmodel_20241009
ace-low-bus,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400230/merfish_output/1296400230_SISSeg_mousedevmodel_20241009
ace-low-cab,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400226/merfish_output/1296400226_SISSeg_mousedevmodel_20241009
ace-low-can,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400223/merfish_output/1296400223_SISSeg_mousedevmodel_20241009
ace-low-cap,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400220/merfish_output/1296400220_SISSeg_mousedevmodel_20241009
ace-low-car,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400217/merfish_output/1296400217_SISSeg_mousedevmodel_20241009
ace-low-cat,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400214/merfish_output/1296400214_SISSeg_mousedevmodel_20241009
ace-low-cop,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400211/merfish_output/1296400211_SISSeg_mousedevmodel_20241010
ace-low-cot,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400208/merfish_output/1296400208_SISSeg_mousedevmodel_20241010
ace-low-cow,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400205/merfish_output/1296400205_SISSeg_mousedevmodel_20241010
ace-low-cry,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad ,/bil/data/50/51/505118bf1edfb3e6/702265/1296400202/merfish_output/1296400202_SISSeg_mousedevmodel_20241010
ace-met-war,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,,/bil/data/ee/2a/ee2a4a5a76a7e3ed/741564
ace-low-zip,Completed,Completed,mask made,Completed,Completed,Completed,Completed,Completed,complete,h5ad,/bil/data/50/51/505118bf1edfb3e6/702265/1296400337/merfish_output/1296400337_SISSeg_mousedevmodel_20241004
ace-can-ill,In progress,Completed,made but not good,Completed (human),no output,Completed,Completed,Completed,complete,doesn't have assignment sm,/bil/data/67/b0/67b0f446e818fc95/ARKFrozen-82-PFC/
ace-can-imp,In progress,Completed,made but not good,Completed (human),no output,Completed,Completed,Completed,complete,doesn't have assignment sm,/bil/data/67/b0/67b0f446e818fc95/NIH-4365-BA10/
ace-can-ink,In progress,Completed,made but not good,Completed (human),no output,Completed,Completed,Completed,complete,doesn't have assignment sm,/bil/data/67/b0/67b0f446e818fc95/ARKFrozen-62-PFC/
ace-den-fly,In progress,Completed,no output,no output,no output,re-run with new mask,no output,no output,no output,S3 not working?,
ace-den-hen,In progress,Completed,mask made,Completed,error,Completed,Completed,Completed,no output,,/bil/data/9d/22/9d220d427123622c/669324
ace-dry-dip,Completed,Completed,mask made,Completed (human),Completed (human),Completed,Completed,Completed,complete,"mmc is better, artifact",/bil/data/f4/e6/f4e6e00f004c85ba/UCSF2018-003-MFG/
ace-dry-dog,Completed,Completed,mask made,Completed (human),Completed (human),Completed,Completed,Completed,complete,artifact,/bil/data/f4/e6/f4e6e00f004c85ba/ARKFrozen-65-V1/
