# sample_name,species,percentile
ace-can-ill,human,25
ace-can-imp,human,25
ace-can-ink,human,25
ace-den-fix,mouse,25
ace-den-fly,mouse,25
ace-den-fog,mouse,25
ace-den-hen,mouse,25
ace-dim-nut,mouse,25
ace-dip-tub,mouse,25
ace-dip-tug,mouse,25
ace-dip-use,mouse,25
ace-dip-van,mouse,25
ace-dip-vat,mouse,25
ace-dry-dip,human,25
ace-dry-dog,human,25
ace-dry-dry,human,25
ace-dry-dub,human,25
ace-dud-vex,macaque,75
ace-dud-vow,macaque,75
ace-dud-wag,macaque,75
ace-dud-war,macaque,75
ace-dud-was,macaque,75
ace-dug-fin,mouse,25
ace-ear-dud,mouse,25
ace-irk-sag,human,75
ace-irk-sap,human,75
ace-irk-sat,human,75
ace-irk-saw,human,80
ace-irk-say,human,75
ace-irk-set,human,25
ace-irk-shy,human,80
ace-jig-eel,mouse,75
ace-let-law,mouse,75
ace-let-lax,mouse,75
ace-let-lay,mouse,75
ace-met-war,mouse,45
