bilCode,label,datasetType,s3BaseUrl,endsWithGenes,smEntriesInDataset
ace-dip-vat,1231122834,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-vat/sm_output/1231122834,false,4
ace-dip-vat,1231122831,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-vat/sm_output/1231122831,false,4
ace-dip-vat,1231122828,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-vat/sm_output/1231122828,false,4
ace-dip-vat,1231122825,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-vat/sm_output/1231122825,false,4
ace-dip-van,1231122680,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-van/sm_output/1231122680,false,3
ace-dip-van,1231122677,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-van/sm_output/1231122677,false,3
ace-dip-van,1231122671,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-van/sm_output/1231122671,false,3
ace-dip-use,1231122507,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-use/sm_output/1231122507,false,4
ace-dip-use,1231122504,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-use/sm_output/1231122504,false,4
ace-dip-use,1231122501,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-use/sm_output/1231122501,false,4
ace-dip-use,1231122498,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-use/sm_output/1231122498,false,4
ace-dip-tug,1232698499,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tug/sm_output/1232698499,false,3
ace-dip-tug,1232698496,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tug/sm_output/1232698496,false,3
ace-dip-tug,1232698492,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tug/sm_output/1232698492,false,3
ace-dip-tub,1231122266,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tub/sm_output/1231122266,false,4
ace-dip-tub,1231122263,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tub/sm_output/1231122263,false,4
ace-dip-tub,1231122260,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tub/sm_output/1231122260,false,4
ace-dip-tub,1231122257,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dip-tub/sm_output/1231122257,false,4
ace-can-ink,processed,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-can-ink/sm_output/processed,false,1
ace-can-imp,processed,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-can-imp/sm_output/processed,false,1
ace-can-ill,processed,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-can-ill/sm_output/processed,false,1
ace-dry-dry,region_0,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dry-dry/sm_output/region_0,false,1
ace-dry-dog,region_0,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dry-dog/sm_output/region_0,false,1
ace-dug-fin,1233424853,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424853,false,55
ace-dug-fin,1233424847,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424847,false,55
ace-dug-fin,1233424844,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424844,false,55
ace-dug-fin,1233424841,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424841,false,55
ace-dug-fin,1233424838,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424838,false,55
ace-dug-fin,1233424835,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424835,false,55
ace-dug-fin,1233424832,single_molecule,https://merfisheyes-bil.s3.us-west-2.amazonaws.com/bil-psc-data2/ace-dug-fin/sm_output/1233424832,false,55
