embryo,status,stage,molecules,expected,count_ok,genes,domains,cells,mb,secs
MER1_E00,ok,4-8-cells,3335379,3335379,True,191,5,8,20.3,39
MER1_E01,ok,2-cells,3379559,3379559,True,191,3,4,20.3,36
MER1_E02,ok,24-cells,2384110,2384110,True,191,9,26,15.2,27
MER1_E06,ok,8-cells,3388154,3388154,True,191,6,10,20.6,36
MER1_E07,ok,4-cells,3307635,3307635,True,191,4,6,19.8,35
MER1_E12,ok,2-cells,5623437,5623437,True,191,4,4,33.1,65
MER1_E19,ok,1-cell,3844056,3844056,True,191,2,3,22.2,46
MER1_E21,ok,Organizer,1464798,1464798,True,191,10,31,9.4,17
MER1_E32,ok,24-cells,2720773,2720773,True,191,9,27,17.2,30
MER2_E1_0,ok,4-cells,1686702,1686702,True,209,3,6,10.3,18
MER2_E1_2,ok,12-cells,1681867,1681867,True,207,8,14,10.5,20
MER2_E1_5,ok,1-cell,2334665,2334665,True,209,3,3,14.0,25
MER2_E1_6,ok,4-cells,2203060,2203060,True,210,3,5,13.4,25
MER2_E1_7,ok,4-cells,2721107,2721107,True,210,3,5,16.5,29
MER2_E1_8,ok,8-cells,2756312,2756312,True,209,4,11,16.7,31
MER2_E2_2,ok,16-cells,2664564,2664559,False,210,6,18,16.5,28
MER2_E2_3,ok,24-cells,1789353,1789353,True,210,11,25,11.3,22
MER2_E2_4,ok,12-cells,2615594,2615594,True,210,7,13,16.0,30
MER2_E2_5,ok,2-cells,3055333,3055333,True,208,3,4,18.2,35
MER2_E3_0,ok,2-cells,3173597,3173597,True,209,2,4,18.7,33
MER2_E3_1,ok,1-cell,3471874,3471874,True,210,4,3,20.5,37
MER2_E3_5,ok,16-20-cells,3960771,3960771,True,210,7,20,24.5,42
MER2_E3_6,ok,2-cells,2807481,2807481,True,210,4,5,17.0,33
MER5-1_E1_01,ok,24-cells,2526677,2526677,True,202,9,25,15.6,29
MER5-1_E1_03,ok,16-cells,4384030,4384030,True,202,7,17,26.9,55
MER5-1_E1_04,ok,20-24-cells,2411169,2411169,True,202,11,23,15.0,27
MER5-1_E3_7,ok,4-8-cells,6562479,6562479,True,202,7,9,38.2,73
MER5-1_E3_8,ok,2-cells,7086766,7086766,True,201,3,4,40.3,75
MER5-1_E4_2,ok,2-cells,8416808,8416808,True,202,4,4,48.3,89
MER6-1_E1_1,ok,12-cells,4905736,4905736,True,216,7,14,29.9,53
MER6-1_E2_0,ok,12-cells,4977327,4977327,True,216,7,14,30.0,60
MER6-1_E2_1,ok,16-cells,3841968,3841968,True,216,8,18,23.5,47
MER6-1_E2_2,ok,16-cells,3747677,3747677,True,216,6,18,22.9,45
MER6-1_E4_2,ok,1-cell,4749729,4749726,False,216,3,3,27.4,51
MER6-2_E1_0,ok,8-cells,2496095,2496095,True,213,6,10,15.4,28
MER6-2_E1_5,ok,16-cells,2851450,2851450,True,213,6,17,17.6,35
MER6-2_E1_6,ok,24-cells,1920159,1920159,True,213,10,26,12.2,22
MER6-2_E1_8,ok,8-cells,4004209,4004209,True,213,5,10,24.3,43
MER6-2_E2_2,ok,12-cells,3266788,3266788,True,213,7,13,20.0,36
MER6-2_E2_3,ok,12-cells,2295363,2295363,True,212,9,14,14.3,25
MER6-2_E2_6,ok,Organizer,1607003,1607003,True,213,13,30,10.3,20
MER6-2_E3_0,ok,24-cells,3460092,3460092,True,213,9,25,21.1,37
MER6-2_E3_1,ok,24-cells,3140608,3140608,True,213,11,26,19.5,36
MER6-2_E3_5,ok,24-cells,2960255,2960255,True,213,10,26,18.7,34
MER6-2_E4_4,ok,12-cells,4670660,4670660,True,213,6,14,28.3,55
